age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40, Private,180110, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
26, ?,181058, Some-college,10, Widowed, ?, Not-in-family, White, Female,0,0,34, ?, <=50K
19, Private,254532, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Philippines, <=50K
23, Private,220290, 9th,3, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,34, Mexico, <=50K
22, Private,73677, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,49, United-States, <=50K
32, Private,283876, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
69, Private,259540, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
49, Private,135943, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
19, Private,196465, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
59, Private,195414, 9th,5, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private,226515, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,16322,0,49, Ireland, >50K
41, State-gov,29140, Some-college,10, Widowed, Protective-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Self-emp-inc,37470, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private,182848, 7th-8th,3, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
43, State-gov,212567, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
28, Private,36880, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,69, United-States, <=50K
36, Private,314236, Masters,14, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, United-States, >50K
39, Private,341441, 7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, State-gov,78925, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, <=50K
26, Private,392266, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, ?,162538, 10th,6, Never-married, ?, Own-child, White, Female,0,0,35, United-States, <=50K
61, Private,77202, Masters,4, Divorced, Sales, Unmarried, White, Female,0,0,14, United-States, <=50K
22, Private,367280, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
23, Local-gov,185754, Assoc-voc,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, England, <=50K
29, Local-gov,334087, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1809,40, United-States, >50K
22, Private,151985, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private,40667, Doctorate,16, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
56, Private,158757, Masters,14, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1922,40, United-States, <=50K
34, Private,30071, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,6884,1967,40, United-States, >50K
46, Private,227466, 5th-6th,4, Separated, Adm-clerical, Not-in-family, White, Female,10969,0,32, Jamaica, <=50K
57, Never-worked,390594, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private,168801, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private,41209, Some-college,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Cuba, <=50K
44, Private,170882, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,7177,0,40, United-States, <=50K
