age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
55, Private,203265, Some-college,9, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,85299,4,24, United-States, <=50K
30, Private,104263, Some-college,10, Married-civ-spouse, Craft-repair, Own-child, White, Male,30841,1,41, United-States, <=50K
32, Self-emp-not-inc,484264, Assoc-acdm,8, Never-married, Prof-specialty, Wife, White, Female,2101,4,31, United-States, <=50K
48, Private,120912, Masters,11, Widowed, Farming-fishing, Own-child, White, Female,17192,478,49, United-States, <=50K
59, Private,150457, HS-grad,12, Married-civ-spouse, Craft-repair, Husband, White, Male,53,2,38, United-States, <=50K
37, Private,235289, HS-grad,11, Divorced, Other-service, Husband, White, Male,2002,0,68, United-States, >50K
23, Private,96334, HS-grad,12, Never-married, Tech-support, Not-in-family, White, Male,72568,0,37, United-States, <=50K
24, Private,167653, HS-grad,11, Married-spouse-absent, Prof-specialty, Husband, White, Male,33627,11,48, ?, <=50K
44, Local-gov,350734, 12th,12, Separated, Adm-clerical, Husband, White, Female,69950,0,37, United-States, >50K
36, Private,137295, 11th,9, Married-civ-spouse, Craft-repair, Husband, White, Female,2211,0,47, Mexico, <=50K
42, Private,125603, Bachelors,12, Divorced, Other-service, Wife, White, Female,8885,0,28, United-States, >50K
44, Private,127160, Assoc-voc,10, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,21509,0,26, United-States, <=50K
54, Local-gov,153400, HS-grad,8, Widowed, ?, Own-child, White, Female,41740,3,55, United-States, <=50K
43, ?,179196, HS-grad,10, Never-married, ?, Husband, White, Male,41593,32,65, United-States, <=50K
36, Private,166452, Bachelors,16, Never-married, Adm-clerical, Not-in-family, White, Male,94341,253,73, United-States, <=50K
42, Private,323278, Masters,12, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,53809,0,55, United-States, >50K
27, Private,141744, 7th-8th,7, Married-civ-spouse, Exec-managerial, Wife, Black, Male,1715,52,31, United-States, <=50K
30, Private,266925, HS-grad,13, Never-married, Exec-managerial, Own-child, White, Male,97055,93,31, United-States, <=50K
25, Private,53110, HS-grad,11, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,6900,34,40, United-States, >50K
45, Private,37887, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,11386,1,32, United-States, <=50K
34, Private,264856, HS-grad,16, Married-civ-spouse, Protective-serv, Husband, White, Male,77992,0,52, United-States, >50K
55, Private,203089, Some-college,11, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,34673,333,54, United-States, <=50K
32, ?,147365, 11th,9, Divorced, Craft-repair, Unmarried, White, Female,63627,0,24, United-States, <=50K
34, Private,49546, Assoc-voc,9, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,40744,1023,54, United-States, <=50K
50, Private,446456, HS-grad,13, Married-civ-spouse, Transport-moving, Unmarried, White, Male,4156,0,66, Peru, >50K
51, Local-gov,392695, Assoc-voc,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,37064,0,44, United-States, <=50K
31, Private,236361, 5th-6th,7, Divorced, Transport-moving, Own-child, White, Male,561,28,41, United-States, <=50K
58, Private,365156, Bachelors,8, Married-spouse-absent, Craft-repair, Wife, White, Male,33059,85,40, United-States, <=50K
66, Private,178256, HS-grad,13, Separated, Other-service, Husband, Black, Female,82014,76,54, United-States, <=50K
25, Private,120104, Bachelors,10, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,23406,0,41, United-States, <=50K
52, Private,73797, Some-college,10, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,57193,397,39, United-States, <=50K
46, Self-emp-not-inc,189264, HS-grad,9, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Male,67868,0,47, United-States, <=50K
30, Local-gov,484831, HS-grad,9, Married-civ-spouse, ?, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
28, Private,229445, Some-college,6, Married-civ-spouse, Prof-specialty, Husband, Black, Male,48740,1,38, United-States, <=50K
20, Private,178125, Bachelors,16, Married-civ-spouse, Sales, Husband, White, Male,72894,2,43, United-States, <=50K
45, Private,144780, Bachelors,13, Married-civ-spouse, Sales, Not-in-family, White, Female,9082,644,36, United-States, >50K
43, Private,287271, HS-grad,10, Divorced, Prof-specialty, Husband, White, Male,2138,63,43, India, <=50K
31, Private,170828, Assoc-acdm,16, Divorced, Other-service, Unmarried, White, Female,82221,179,51, United-States, <=50K
27, Private,132476, 10th,11, Married-civ-spouse, Adm-clerical, Wife, White, Male,12743,0,16, United-States, >50K
65, Federal-gov,134404, Some-college,15, Separated, Transport-moving, Own-child, White, Male,74896,0,49, United-States, >50K
22, Private,314543, Assoc-acdm,7, Never-married, Prof-specialty, Not-in-family, Black, Female,10196,16,20, United-States, <=50K
29, ?,321166, 9th,9, Married-civ-spouse, Other-service, Own-child, White, Female,3621,0,32, United-States, <=50K
23, Private,246418, Bachelors,11, Never-married, Exec-managerial, Own-child, White, Male,5719,0,40, United-States, <=50K
21, Self-emp-inc,108300, HS-grad,6, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,75277,0,40, United-States, <=50K
48, Local-gov,82178, 7th-8th,8, Divorced, Other-service, Unmarried, White, Female,602,0,34, United-States, <=50K
23, Local-gov,165418, HS-grad,8, Never-married, Sales, Wife, Asian-Pac-Islander, Female,3585,0,35, United-States, <=50K
40, Private,65912, Some-college,16, Divorced, Handlers-cleaners, Not-in-family, White, Female,42,38,31, United-States, >50K
29, Self-emp-inc,214392, HS-grad,6, Married-civ-spouse, Prof-specialty, Own-child, White, Male,2313,18,43, United-States, >50K
