age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21, Private,131968, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,31015, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
61, Private,390430, 7th-8th,5, Married-spouse-absent, Priv-house-serv, Unmarried, White, Female,0,0,35, United-States, <=50K
44, Private,200484, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,51, Honduras, <=50K
33, Private,70249, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Self-emp-inc,313396, 7th-8th,11, Divorced, Priv-house-serv, Not-in-family, White, Male,5981,0,40, England, <=50K
20, Private,364749, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
69, Self-emp-inc,132725, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,10411,0,40, Columbia, >50K
36, Private,60996, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,1953,40, United-States, <=50K
25, Never-worked,228684, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,34, Vietnam, <=50K
55, Federal-gov,177791, 7th-8th,6, Divorced, Other-service, Unmarried, Black, Female,0,0,33, United-States, <=50K
28, Private,255992, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,31, India, >50K
33, Private,191812, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private,259501, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, ?, <=50K
28, Private,109407, Some-college,11, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
60, Private,131803, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc,229402, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
23, State-gov,187991, Some-college,10, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
50, Private,105753, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
42, Private,91055, HS-grad,9, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
30, Private,160891, HS-grad,9, Separated, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private,316771, HS-grad,9, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc,366039, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
36, Private,68043, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
74, ?,184337, 10th,7, Widowed, ?, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private,33397, Some-college,10, Married-spouse-absent, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Columbia, <=50K
58, Self-emp-not-inc,31929, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
55, Private,95728, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,59, South, <=50K
22, Private,196607, Assoc-acdm,11, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private,422154, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,1863,40, United-States, <=50K
29, Private,187179, HS-grad,9, Separated, Other-service, Other-relative, Black, Female,0,0,40, United-States, <=50K
61, Private,342502, Assoc-voc,11, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Cuba, <=50K
17, Private,203080, 11th,7, Never-married, Other-service, Other-relative, Black, Male,0,0,16, United-States, <=50K
27, Private,154250, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,4229,0,40, United-States, <=50K
59, Private,65697, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,11059,0,40, United-States, >50K
27, Self-emp-not-inc,304987, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Self-emp-inc,262441, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1856,60, United-States, >50K
18, Private,175715, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
76, Private,146523, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,10, United-States, <=50K
62, ?,70267, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,0,0,9, United-States, <=50K
27, Private,157592, 11th,7, Never-married, Tech-support, Own-child, White, Male,0,0,40, Columbia, <=50K
40, Private,298308, Some-college,10, Married-AF-spouse, Adm-clerical, Wife, White, Female,5615,0,40, United-States, <=50K
20, Private,323084, HS-grad,9, Never-married, Transport-moving, Other-relative, White, Male,0,0,50, ?, <=50K
20, Private,56163, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,307260, 11th,4, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,40, Jamaica, <=50K
28, Private,270940, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, ?,75106, Bachelors,13, Married-AF-spouse, Adm-clerical, Wife, White, Female,8158,0,40, Guatemala, <=50K
27, Never-worked,186165, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc,151044, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
32, State-gov,61274, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,329277, 5th-6th,4, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
42, Private,582256, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
52, Self-emp-not-inc,27456, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,47, United-States, <=50K
43, Self-emp-inc,212784, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1933,45, Taiwan, >50K
