age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41, Private,288030, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, United-States, >50K
46, Private,344015, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7585,0,40, United-States, >50K
41, Never-worked,202601, 10th,4, Married-civ-spouse, ?, Wife, White, Female,3760,0,40, United-States, <=50K
50, Self-emp-inc,200057, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,8275,1958,60, Ireland, >50K
25, ?,405184, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,6751,0,33, United-States, <=50K
57, Private,114484, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,5267,0,25, United-States, <=50K
41, Private,308150, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,13193,0,47, United-States, >50K
46, Private,20174, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private,79038, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private,229397, HS-grad,9, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1869,49, United-States, <=50K
51, Private,113550, Bachelors,13, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, >50K
32, Local-gov,681001, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
53, Private,174029, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,8348,1936,40, United-States, >50K
72, Private,196522, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,48, England, >50K
54, Private,36059, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Ireland, <=50K
48, Private,28241, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Mexico, <=50K
54, Private,158933, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7263,0,40, United-States, <=50K
18, Private,268828, 11th,4, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
29, Private,357066, 11th,7, Married-spouse-absent, Other-service, Unmarried, Black, Female,0,0,13, United-States, <=50K
38, Self-emp-not-inc,230611, Bachelors,13, Separated, Adm-clerical, Unmarried, Black, Female,7593,0,40, United-States, <=50K
