age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47, Private,164076, HS-grad,10, Divorced, Sales, Husband, White, Female,98874,4,46, United-States, <=50K
38, Private,361564, Masters,10, Never-married, Prof-specialty, Not-in-family, White, Female,57457,0,37, United-States, <=50K
32, Private,101155, Prof-school,11, Married-civ-spouse, Other-service, Unmarried, White, Male,5013,0,20, United-States, <=50K
23, Private,141706, HS-grad,14, Married-civ-spouse, Sales, Own-child, White, Male,41684,2,47, United-States, <=50K
36, Private,99347, 10th,7, Separated, Machine-op-inspct, Not-in-family, White, Male,3,32,52, United-States, <=50K
39, Private,69726, Bachelors,14, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,5149,513,53, United-States, <=50K
31, Private,106660, Prof-school,8, Married-civ-spouse, Craft-repair, Husband, White, Female,61052,0,54, United-States, <=50K
28, State-gov,103549, 12th,10, Never-married, Prof-specialty, Wife, White, Female,11705,0,48, United-States, <=50K
27, State-gov,122395, HS-grad,13, Married-civ-spouse, Other-service, Own-child, White, Male,58071,0,46, ?, >50K
37, Federal-gov,141195, Masters,8, Never-married, Tech-support, Husband, White, Male,0,0,34, United-States, <=50K
55, Self-emp-not-inc,132704, Some-college,12, Married-civ-spouse, Adm-clerical, Husband, White, Female,62055,2,27, Scotland, >50K
20, Private,142593, Bachelors,11, Never-married, ?, Husband, White, Male,1119,0,31, Mexico, <=50K
71, Private,176897, Bachelors,13, Widowed, Handlers-cleaners, Not-in-family, White, Male,5928,0,48, United-States, >50K
55, Self-emp-inc,289360, 11th,13, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,30180,451,41, United-States, <=50K
25, Private,196392, 10th,6, Never-married, Prof-specialty, Not-in-family, White, Male,22750,0,31, United-States, <=50K
74, Private,104915, Some-college,9, Married-civ-spouse, Protective-serv, Wife, White, Male,14273,8,15, Poland, <=50K
33, Private,27923, Some-college,9, Married-civ-spouse, Transport-moving, Unmarried, White, Male,74299,0,41, United-States, <=50K
41, Private,151065, Masters,5, Never-married, Other-service, Not-in-family, White, Female,16,0,36, United-States, <=50K
24, Federal-gov,155363, Masters,12, Never-married, Exec-managerial, Unmarried, White, Female,3588,0,26, United-States, <=50K
62, Private,96535, HS-grad,11, Divorced, Sales, Own-child, White, Female,4694,249,41, United-States, <=50K
37, Private,141209, HS-grad,10, Never-married, Other-service, Husband, White, Male,75552,0,46, United-States, >50K
58, Self-emp-not-inc,145235, Masters,15, Separated, Exec-managerial, Other-relative, White, Male,21232,0,29, United-States, >50K
40, Private,373700, 11th,12, Married-civ-spouse, Craft-repair, Own-child, White, Male,15054,73,36, United-States, >50K
34, Private,361486, HS-grad,13, Married-civ-spouse, Other-service, Not-in-family, White, Female,45355,0,45, United-States, <=50K
44, Private,159369, 11th,8, Married-civ-spouse, Craft-repair, Own-child, White, Female,5850,1,25, United-States, <=50K
64, Private,78663, 9th,8, Widowed, Prof-specialty, Wife, White, Female,60804,0,32, United-States, <=50K
46, Private,128788, Bachelors,10, Married-civ-spouse, ?, Not-in-family, White, Female,23333,11,53, United-States, <=50K
43, Self-emp-not-inc,237707, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,7919,0,37, United-States, <=50K
29, Self-emp-inc,272291, 11th,11, Never-married, Adm-clerical, Not-in-family, Black, Male,86632,0,39, United-States, <=50K
42, State-gov,186172, Bachelors,11, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,92600,0,29, United-States, <=50K
56, Private,124962, Prof-school,10, Never-married, Prof-specialty, Husband, White, Female,23,0,73, United-States, <=50K
26, Private,76872, HS-grad,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,83318,15,56, United-States, >50K
19, Private,84774, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,39600,0,25, United-States, <=50K
44, Private,62898, Bachelors,16, Married-civ-spouse, Prof-specialty, Own-child, White, Male,772,0,52, United-States, >50K
31, Private,127892, Some-college,7, Separated, Machine-op-inspct, Unmarried, White, Female,30,0,34, United-States, <=50K
40, Private,64452, Some-college,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,99115,0,32, United-States, <=50K
42, Private,193175, Bachelors,15, Never-married, Craft-repair, Own-child, White, Male,87872,0,45, United-States, >50K
42, Local-gov,157995, Some-college,11, Never-married, Sales, Unmarried, White, Female,6468,285,24, United-States, <=50K
51, Private,210735, Masters,7, Separated, Exec-managerial, Husband, White, Female,14030,312,34, United-States, <=50K
29, Private,113611, Some-college,6, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,53119,0,20, Germany, <=50K
29, Private,215246, 1st-4th,9, Married-civ-spouse, ?, Other-relative, White, Male,8031,5,24, United-States, <=50K
51, Private,124179, Bachelors,7, Widowed, ?, Not-in-family, White, Female,58284,0,31, Jamaica, <=50K
34, State-gov,163381, HS-grad,12, Married-civ-spouse, Exec-managerial, Own-child, White, Female,27123,71,51, Mexico, >50K
35, Self-emp-not-inc,267840, Masters,10, Never-married, Sales, Not-in-family, White, Male,79017,142,57, United-States, <=50K
21, Private,164979, HS-grad,9, Never-married, Sales, Husband, White, Male,2530,0,27, United-States, <=50K
26, Private,191500, Some-college,11, Married-civ-spouse, Adm-clerical, Own-child, White, Male,51964,0,35, United-States, >50K
50, State-gov,238607, Bachelors,13, Married-civ-spouse, Adm-clerical, Own-child, White, Male,274,0,44, ?, <=50K
69, State-gov,191139, HS-grad,11, Divorced, Other-service, Not-in-family, White, Female,60453,2,39, United-States, <=50K
41, Self-emp-not-inc,374431, Masters,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,564,17,22, United-States, <=50K
58, Self-emp-not-inc,136064, HS-grad,10, Divorced, Exec-managerial, Husband, White, Male,574,0,54, United-States, >50K
20, Private,93789, HS-grad,12, Never-married, Exec-managerial, Unmarried, White, Female,0,0,44, United-States, <=50K
39, Local-gov,232919, Assoc-voc,10, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,61007,8,43, United-States, >50K
56, Private,314332, Some-college,6, Widowed, Other-service, Husband, White, Female,6407,31,25, United-States, <=50K
53, State-gov,152619, HS-grad,13, Married-civ-spouse, Craft-repair, Husband, White, Female,79513,21,29, Iran, <=50K
70, Private,63535, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,29048,9,58, United-States, <=50K
31, Federal-gov,220724, Some-college,9, Divorced, Exec-managerial, Husband, White, Female,83663,3,25, United-States, <=50K
21, Private,83984, Some-college,15, Never-married, Exec-managerial, Husband, White, Male,71913,0,59, England, <=50K
59, Private,67256, HS-grad,13, Divorced, Other-service, Husband, White, Male,78887,749,39, United-States, >50K
27, Local-gov,99534, HS-grad,12, Never-married, Other-service, Unmarried, White, Male,75423,66,28, United-States, <=50K
39, Private,231601, Bachelors,9, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,91000,28,24, United-States, <=50K
50, Private,143171, HS-grad,11, Married-civ-spouse, Prof-specialty, Husband, White, Female,18190,13,61, United-States, <=50K
34, Self-emp-inc,151662, Some-college,11, Divorced, ?, Unmarried, White, Male,75256,167,47, United-States, >50K
55, Private,83271, Assoc-acdm,8, Divorced, Machine-op-inspct, Not-in-family, White, Male,31277,17,34, United-States, >50K
