age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
81, Self-emp-not-inc,226483, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,1,0,56, United-States, <=50K
42, Self-emp-not-inc,182753, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,58, United-States, <=50K
61, Self-emp-inc,115206, Masters,9, Widowed, Exec-managerial, Unmarried, White, Female,5,0,36, United-States, <=50K
34, Private,31896, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,4,1707,40, Mexico, <=50K
31, Private,210103, Assoc-acdm,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,26,0,40, United-States, <=50K
23, Federal-gov,136741, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,14,0,48, Yugoslavia, <=50K
52, Local-gov,209991, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,10,0,40, United-States, >50K
26, Local-gov,140399, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,3770,0,40, United-States, <=50K
60, Self-emp-inc,455280, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,14640,0,44, United-States, >50K
55, Private,119215, Assoc-voc,11, Married-civ-spouse, Tech-support, Not-in-family, White, Female,3624,0,55, United-States, <=50K
25, Private,186084, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,10,0,40, United-States, >50K
30, Private,238382, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,3,0,35, United-States, <=50K
56, Self-emp-not-inc,187309, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
46, Local-gov,194773, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,20,0,49, Taiwan, <=50K
40, Federal-gov,89122, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,14,0,31, United-States, <=50K
51, Self-emp-not-inc,148511, 7th-8th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,126100, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,93767, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
39, Private,195508, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,23,0,36, United-States, >50K
38, State-gov,300235, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,32,0,58, United-States, >50K
24, Self-emp-not-inc,151418, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private,28110, 10th,4, Never-married, Craft-repair, Other-relative, White, Female,0,0,28, United-States, <=50K
50, Private,211355, 9th,3, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
23, Private,231752, 11th,7, Never-married, Tech-support, Own-child, White, Female,0,0,8, United-States, <=50K
39, Private,188300, Assoc-acdm,13, Divorced, Prof-specialty, Not-in-family, White, Female,1,0,35, United-States, <=50K
44, Federal-gov,215626, Bachelors,10, Never-married, Prof-specialty, Not-in-family, Black, Female,4,0,40, United-States, <=50K
46, Self-emp-inc,133615, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,1,0,40, United-States, >50K
45, Local-gov,94870, Bachelors,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
53, Self-emp-not-inc,137082, Assoc-acdm,5, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,13,1,8, South, <=50K
65, Self-emp-not-inc,324352, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,28,0,60, United-States, <=50K
23, Private,238592, 10th,13, Never-married, Machine-op-inspct, Not-in-family, White, Female,5,0,40, United-States, <=50K
29, Local-gov,112942, HS-grad,9, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Female,0,0,30, Philippines, <=50K
41, Federal-gov,164346, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,15,0,35, India, <=50K
61, Private,102096, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,6,0,40, United-States, >50K
58, Federal-gov,166085, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Male,7610,0,55, United-States, >50K
30, Local-gov,187602, 5th-6th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,16,1931,60, England, <=50K
25, Federal-gov,164887, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, Haiti, <=50K
52, Private,261902, 7th-8th,4, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, State-gov,372614, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,1,0,35, United-States, <=50K
20, Private,158076, 10th,6, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K
55, Private,193480, HS-grad,9, Widowed, Tech-support, Not-in-family, White, Female,11,0,35, United-States, <=50K
35, Federal-gov,395298, Doctorate,15, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,18, United-States, >50K
27, Private,307551, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,15,0,40, United-States, <=50K
37, Local-gov,105513, 7th-8th,4, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,3,0,40, India, <=50K
44, Private,164311, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private,179539, HS-grad,9, Married-spouse-absent, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,9, South, <=50K
75, Self-emp-not-inc,114947, Some-college,10, Widowed, Adm-clerical, Own-child, White, Female,4352,0,11, United-States, <=50K
43, Private,169476, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,0,1977,33, United-States, <=50K
59, Private,124991, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,5,0,40, United-States, <=50K
56, Private,270422, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,20,1,40, United-States, <=50K
19, ?,75420, Some-college,10, Widowed, ?, Not-in-family, Asian-Pac-Islander, Male,0,0,12, Jamaica, <=50K
67, Federal-gov,128884, Some-college,10, Widowed, Protective-serv, Unmarried, White, Male,35,0,40, United-States, <=50K
41, Private,243716, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
45, Private,216861, HS-grad,9, Widowed, Adm-clerical, Wife, White, Female,22,0,57, United-States, >50K
62, Self-emp-not-inc,105127, HS-grad,6, Widowed, Farming-fishing, Not-in-family, White, Male,19,0,9, United-States, <=50K
44, Without-pay,352426, Some-college,10, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc,117272, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,4,0,45, United-States, >50K
36, Private,108679, 9th,4, Separated, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
35, Local-gov,125455, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,10,0,40, United-States, <=50K
54, Private,146257, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc,36464, Some-college,10, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
49, Private,274739, 9th,3, Separated, Craft-repair, Not-in-family, White, Male,25,0,40, United-States, <=50K
23, Federal-gov,131874, Masters,7, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Private,217405, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,13,0,40, United-States, >50K
35, Private,355809, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,19,0,67, United-States, >50K
25, Private,42516, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,4,0,40, United-States, <=50K
20, ?,402782, 5th-6th,6, Never-married, ?, Not-in-family, White, Male,0,0,36, United-States, <=50K
25, Local-gov,274491, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Male,16,0,40, Jamaica, <=50K
42, State-gov,97781, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,9,0,24, United-States, >50K
56, Self-emp-inc,147952, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,8,0,21, United-States, <=50K
48, Self-emp-not-inc,260536, Some-college,10, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,49, United-States, <=50K
39, Self-emp-inc,130947, 5th-6th,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
47, Self-emp-not-inc,138157, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,10,0,58, United-States, <=50K
63, Private,115892, Preschool,4, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Jamaica, <=50K
36, Self-emp-not-inc,452147, HS-grad,9, Never-married, Sales, Own-child, White, Female,25,0,57, United-States, <=50K
28, Private,729180, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,100367, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,23,0,40, Nicaragua, >50K
65, Self-emp-not-inc,47466, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, <=50K
26, Without-pay,36299, 9th,6, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
58, State-gov,194615, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,57, United-States, <=50K
39, Private,129196, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,4,0,63, United-States, >50K
24, State-gov,82769, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,7, United-States, <=50K
33, Private,151374, HS-grad,9, Never-married, Craft-repair, Husband, White, Male,4,0,57, United-States, <=50K
45, Private,296959, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,26,0,54, United-States, <=50K
37, Private,429932, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,22,0,18, United-States, <=50K
25, Self-emp-not-inc,18175, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,9, United-States, <=50K
42, Self-emp-inc,269312, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7,1,40, ?, <=50K
21, Self-emp-not-inc,124027, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,12,0,35, United-States, <=50K
21, Private,158141, 5th-6th,3, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Mexico, <=50K
42, Self-emp-not-inc,35436, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,12,0,40, United-States, <=50K
70, Without-pay,177196, HS-grad,9, Widowed, Other-service, Other-relative, White, Female,0,0,49, United-States, <=50K
58, ?,205549, HS-grad,9, Married-AF-spouse, ?, Other-relative, White, Female,23,0,11, United-States, <=50K
26, ?,377093, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private,103956, 7th-8th,6, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,15,0,40, England, <=50K
67, Private,76547, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private,181990, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3371,0,40, United-States, <=50K
52, Private,134011, Assoc-acdm,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,34, England, <=50K
26, Private,184566, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Female,29,0,40, United-States, <=50K
62, Self-emp-not-inc,149777, HS-grad,9, Never-married, Farming-fishing, Unmarried, White, Female,11,0,1, United-States, <=50K
38, Private,44413, 11th,6, Never-married, Handlers-cleaners, Own-child, White, Male,7,0,40, United-States, <=50K
35, Self-emp-not-inc,49175, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,16,0,40, United-States, <=50K
31, Private,407633, Bachelors,13, Married-civ-spouse, Tech-support, Wife, Black, Female,0,0,40, Cuba, <=50K
17, Private,506841, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Female,22,0,40, United-States, <=50K
59, Private,94493, Some-college,10, Widowed, Other-service, Unmarried, Black, Female,3805,0,30, United-States, <=50K
51, Private,135612, 11th,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,13,0,40, United-States, <=50K
21, Local-gov,194929, HS-grad,9, Never-married, Sales, Wife, Black, Female,9,0,40, United-States, <=50K
43, Local-gov,81116, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,10,1793,40, United-States, <=50K
33, Local-gov,212239, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Male,5,0,40, Jamaica, <=50K
24, Private,249458, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,24,0,23, United-States, <=50K
39, Self-emp-inc,142772, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,17,0,64, United-States, >50K
45, Private,98323, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Female,29,0,40, United-States, <=50K
32, Private,284598, 10th,10, Never-married, Transport-moving, Not-in-family, Black, Male,2,0,40, United-States, <=50K
40, Private,221398, Bachelors,13, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,1830,36, South, <=50K
52, Local-gov,193971, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,59, United-States, <=50K
42, Private,75465, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,40, United-States, >50K
34, Local-gov,204410, 11th,7, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,44, United-States, >50K
31, Private,24426, Some-college,10, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,34, United-States, <=50K
43, Private,115906, Some-college,10, Divorced, Transport-moving, Husband, Black, Male,17,0,59, United-States, <=50K
37, Private,99852, 11th,7, Never-married, Other-service, Unmarried, Black, Female,6,0,35, United-States, <=50K
27, Self-emp-inc,89527, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
21, Private,102522, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,12,0,40, United-States, <=50K
33, Private,209776, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,11,0,40, United-States, <=50K
49, Self-emp-not-inc,107304, Masters,14, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,64, United-States, <=50K
27, Private,315820, Assoc-acdm,12, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,0,34, United-States, <=50K
22, ?,178276, Assoc-acdm,13, Widowed, ?, Own-child, White, Female,16,0,9, United-States, <=50K
24, Private,169959, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
22, ?,128986, 10th,6, Divorced, ?, Not-in-family, White, Male,0,0,19, United-States, <=50K
57, Private,329342, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7473,0,56, United-States, <=50K
21, Local-gov,48143, Assoc-voc,11, Never-married, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
41, Private,166812, Assoc-acdm,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
22, Local-gov,303516, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
40, Private,284846, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,6,0,35, United-States, >50K
23, Self-emp-not-inc,26129, Assoc-acdm,13, Never-married, Adm-clerical, Other-relative, White, Female,2,0,36, United-States, <=50K
55, Never-worked,376287, Preschool,3, Never-married, ?, Other-relative, White, Female,0,0,5, United-States, <=50K
60, Local-gov,157400, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,13,0,40, United-States, <=50K
19, ?,94640, 5th-6th,4, Never-married, ?, Not-in-family, White, Female,10,0,40, United-States, <=50K
39, Local-gov,206730, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,57, United-States, <=50K
28, Private,198471, 11th,7, Separated, Adm-clerical, Other-relative, White, Male,0,1785,40, Mexico, <=50K
38, Self-emp-inc,101977, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
56, Private,97958, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,21,0,40, United-States, <=50K
23, Private,123339, Assoc-acdm,13, Never-married, Adm-clerical, Other-relative, White, Female,7,0,40, Cuba, <=50K
24, Private,311694, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,18,0,40, United-States, <=50K
27, Private,290510, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,58, India, <=50K
19, ?,95541, 9th,6, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo, Female,3687,0,36, United-States, <=50K
52, Private,178398, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7,0,40, United-States, <=50K
51, ?,292058, Some-college,10, Divorced, ?, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private,227712, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,19,0,40, United-States, <=50K
42, Private,131074, Masters,14, Never-married, Sales, Unmarried, White, Female,3388,0,49, Canada, <=50K
20, Self-emp-not-inc,71518, Some-college,10, Separated, Farming-fishing, Own-child, White, Male,12,0,50, United-States, <=50K
60, Federal-gov,126016, Some-college,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, State-gov,110067, Masters,14, Widowed, Craft-repair, Other-relative, White, Male,2,0,40, United-States, <=50K
32, Private,93277, HS-grad,9, Separated, Craft-repair, Unmarried, Black, Female,7,0,40, United-States, <=50K
54, Local-gov,183354, 12th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
43, Private,77226, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, Cuba, <=50K
52, Local-gov,117986, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,9,0,40, United-States, <=50K
57, Self-emp-not-inc,253538, 7th-8th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,26,0,40, United-States, <=50K
44, Private,49337, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,12,0,50, United-States, >50K
68, Private,197741, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,20,0,40, United-States, <=50K
35, Private,169975, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
50, Private,334079, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
24, Private,247556, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
31, Private,257476, Bachelors,13, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Cuba, <=50K
40, Private,157373, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private,126773, 5th-6th,3, Never-married, Machine-op-inspct, Unmarried, White, Female,22,0,40, Mexico, <=50K
40, Private,139333, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,27,0,40, United-States, >50K
30, Self-emp-inc,145421, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,2,0,44, United-States, >50K
46, Private,74882, 9th,3, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Federal-gov,151572, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Federal-gov,325289, HS-grad,9, Separated, Transport-moving, Husband, White, Male,0,0,58, Mexico, <=50K
52, Private,222257, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,18,1,35, United-States, >50K
46, Private,156445, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,35,0,69, United-States, >50K
32, Private,35067, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,55, United-States, <=50K
20, Private,309261, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,21,0,7, United-States, <=50K
43, Private,176144, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,70,0,40, United-States, >50K
68, Federal-gov,240410, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,8,0,40, Cuba, >50K
34, Local-gov,85317, Some-college,10, Never-married, Tech-support, Unmarried, Black, Female,19,0,36, United-States, <=50K
67, Local-gov,179793, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,3768,0,40, United-States, >50K
63, Self-emp-not-inc,25467, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,14,0,40, United-States, >50K
45, Federal-gov,199720, HS-grad,9, Divorced, Tech-support, Not-in-family, White, Female,20,0,40, United-States, <=50K
23, Private,192497, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,11,0,36, Canada, <=50K
65, Self-emp-not-inc,123686, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Female,3506,0,20, United-States, <=50K
49, Private,122243, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,26,0,40, United-States, <=50K
61, State-gov,210066, Prof-school,6, Married-civ-spouse, Transport-moving, Husband, White, Male,11,0,40, United-States, <=50K
62, Federal-gov,104241, 10th,5, Married-civ-spouse, Craft-repair, Wife, White, Male,4154,0,40, United-States, <=50K
20, Private,180890, 1st-4th,4, Never-married, Farming-fishing, Own-child, White, Male,6,0,40, United-States, <=50K
23, Private,220713, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,58, United-States, <=50K
39, Private,224081, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Male,16,0,40, United-States, <=50K
38, Federal-gov,397886, HS-grad,9, Divorced, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private,220587, 9th,4, Divorced, Machine-op-inspct, Not-in-family, Black, Male,22,0,40, United-States, <=50K
45, Self-emp-not-inc,49167, HS-grad,9, Married-civ-spouse, Other-service, Not-in-family, White, Female,23,0,21, Puerto-Rico, <=50K
43, Private,387430, HS-grad,9, Never-married, Transport-moving, Own-child, Black, Male,0,0,36, United-States, <=50K
29, Self-emp-not-inc,78127, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7,0,58, United-States, <=50K
25, Private,142117, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,37, Jamaica, <=50K
23, Private,51903, Bachelors,13, Never-married, Adm-clerical, Unmarried, White, Female,26,0,36, United-States, >50K
66, Local-gov,154430, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,18,0,50, United-States, <=50K
34, Private,223745, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Federal-gov,62169, Some-college,10, Separated, Adm-clerical, Unmarried, White, Male,8,0,30, United-States, <=50K
55, Federal-gov,243316, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,2,0,40, United-States, <=50K
38, Self-emp-not-inc,239080, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,2,0,35, United-States, >50K
69, Self-emp-inc,155965, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,18,0,62, France, <=50K
47, Private,182889, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
41, Self-emp-inc,110431, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,40,0,37, United-States, >50K
31, Private,200479, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,1,0,56, United-States, <=50K
58, ?,113698, 12th,5, Married-civ-spouse, ?, Husband, White, Female,18,1,40, United-States, <=50K
66, Federal-gov,90680, Some-college,10, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
63, Self-emp-not-inc,222993, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,4096,0,56, United-States, >50K
46, Private,168756, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,16,1823,50, Portugal, <=50K
61, Without-pay,104196, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc,105773, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,44, United-States, <=50K
45, Private,277316, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Self-emp-not-inc,103988, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,22,0,44, United-States, <=50K
