age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56, Private,201336, 9th,5, Divorced, Transport-moving, Not-in-family, White, Male,0,0,36, England, <=50K
17, ?,171183, HS-grad,9, Never-married, ?, Own-child, White, Female,1,0,40, United-States, <=50K
53, Private,235016, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,25,0,40, Vietnam, >50K
44, Self-emp-not-inc,36598, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,13,0,36, United-States, >50K
27, Private,175379, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc,186674, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,38,0,59, United-States, >50K
40, Private,136129, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,3818,0,35, United-States, <=50K
19, ?,314125, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,7, United-States, <=50K
32, Private,153752, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
35, Self-emp-not-inc,168004, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male,12,0,40, England, <=50K
36, Never-worked,579584, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private,170655, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
61, Private,178737, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
43, Private,245648, 7th-8th,3, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc,148626, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,5,1,40, United-States, <=50K
45, Private,191225, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,31,0,44, United-States, >50K
46, Self-emp-not-inc,183555, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,21,0,66, United-States, <=50K
25, Private,97632, 5th-6th,2, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Mexico, <=50K
29, Local-gov,170453, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
55, Private,93074, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Cuba, <=50K
44, Private,100993, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,15,0,40, United-States, <=50K
45, Private,270860, HS-grad,9, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
75, Private,115552, 5th-6th,4, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, Cuba, <=50K
35, State-gov,215278, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
62, Self-emp-inc,130850, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
29, Private,105820, Some-college,10, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private,216674, 11th,7, Married-spouse-absent, Machine-op-inspct, Own-child, White, Female,0,0,40, Jamaica, <=50K
70, Self-emp-not-inc,326173, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,58, United-States, <=50K
21, Self-emp-not-inc,316981, Some-college,10, Never-married, Other-service, Not-in-family, Black, Female,4,0,11, United-States, <=50K
41, Local-gov,33079, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,12,0,40, United-States, >50K
37, State-gov,194619, Some-college,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Federal-gov,148919, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, <=50K
55, Private,135921, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,2,0,40, Mexico, <=50K
60, Private,362554, 10th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,398569, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,15,0,12, United-States, <=50K
30, State-gov,203030, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,3,0,44, United-States, <=50K
41, Self-emp-not-inc,186544, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,1,0,8, United-States, <=50K
41, Private,28255, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,21,0,40, United-States, <=50K
49, Private,315467, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,16,0,40, United-States, <=50K
22, Private,404638, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,30, United-States, <=50K
30, Federal-gov,32901, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,17,0,40, United-States, >50K
65, Private,154271, HS-grad,9, Separated, Craft-repair, Unmarried, White, Female,16,1,29, United-States, <=50K
66, Self-emp-not-inc,116557, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Germany, <=50K
28, Private,169599, Bachelors,13, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,11,0,40, United-States, <=50K
30, Federal-gov,122588, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,6,1764,58, Philippines, <=50K
23, Self-emp-not-inc,274350, Some-college,10, Separated, Other-service, Not-in-family, White, Female,3609,0,7, United-States, <=50K
35, Without-pay,329388, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
57, Local-gov,167239, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,29,0,40, United-States, <=50K
52, Private,422725, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Federal-gov,515540, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,4,0,50, United-States, >50K
56, State-gov,56632, 12th,7, Divorced, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,6,0,40, United-States, <=50K
40, Self-emp-inc,321131, Bachelors,13, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
40, Private,161881, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,11,0,56, India, <=50K
43, Self-emp-inc,75042, Some-college,10, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,5,0,61, United-States, <=50K
19, Private,233311, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,4, United-States, <=50K
39, Self-emp-not-inc,37370, 11th,9, Married-civ-spouse, Other-service, Wife, White, Male,14,0,21, United-States, <=50K
66, Local-gov,390039, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Female,2,0,73, United-States, >50K
56, Private,145618, HS-grad,9, Never-married, Adm-clerical, Wife, White, Female,3,0,40, United-States, <=50K
23, Private,222981, HS-grad,9, Never-married, Protective-serv, Own-child, Black, Female,0,0,40, United-States, <=50K
44, Private,178191, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,17,1,40, Scotland, >50K
42, Private,185376, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, State-gov,96404, Some-college,10, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,11,0,58, India, >50K
40, Private,237814, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,62, United-States, <=50K
59, Private,232136, 7th-8th,6, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private,434907, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, State-gov,200948, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,1,0,40, United-States, >50K
43, Private,203852, 12th,7, Widowed, Other-service, Unmarried, White, Female,0,1,34, Cuba, <=50K
17, Private,131324, 5th-6th,3, Never-married, Craft-repair, Own-child, White, Male,23,0,40, United-States, <=50K
38, Federal-gov,168346, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,15,0,40, United-States, >50K
42, Private,297638, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,25,0,36, United-States, >50K
34, State-gov,322105, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,28,0,37, United-States, >50K
23, Federal-gov,319190, Some-college,10, Never-married, Protective-serv, Own-child, Black, Male,6,0,40, United-States, <=50K
68, Private,190007, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,26,0,35, United-States, <=50K
63, ?,234780, HS-grad,9, Never-married, ?, Own-child, White, Female,20,0,21, United-States, <=50K
29, Private,38461, Some-college,10, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
53, Private,99911, 9th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,13,0,60, United-States, <=50K
59, Self-emp-not-inc,232768, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1,0,59, United-States, <=50K
38, Local-gov,34323, Assoc-voc,6, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Private,482897, HS-grad,9, Never-married, Sales, Unmarried, Black, Female,0,0,34, United-States, <=50K
66, Private,283525, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,2,0,40, United-States, <=50K
21, Private,213433, Assoc-voc,11, Never-married, Craft-repair, Unmarried, Black, Female,7,0,40, United-States, <=50K
46, Local-gov,118042, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1851,22, United-States, <=50K
45, Self-emp-inc,198013, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,6,1,76, United-States, >50K
38, Private,250624, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,8,0,40, United-States, <=50K
61, Federal-gov,72968, HS-grad,13, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,74, United-States, <=50K
18, Private,83337, 11th,6, Never-married, Machine-op-inspct, Own-child, White, Male,15,0,34, United-States, <=50K
42, Private,286849, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,5,0,40, United-States, <=50K
