age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22, Private,131285, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,6, United-States, <=50K
44, Private,85084, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
26, Local-gov,136321, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private,97415, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black, Male,33,0,40, United-States, <=50K
24, Private,133609, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
22, Private,96831, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,30, United-States, <=50K
37, Local-gov,139808, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,1,0,40, United-States, <=50K
26, Private,135243, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,2,0,40, United-States, <=50K
55, State-gov,114022, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,1,0,22, United-States, <=50K
37, Private,116516, Some-college,10, Divorced, Other-service, Not-in-family, Black, Female,0,0,30, United-States, <=50K
27, Private,94926, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
20, Private,40332, 10th,5, Never-married, Farming-fishing, Own-child, White, Male,3,0,22, United-States, <=50K
68, ?,33048, Bachelors,13, Never-married, ?, Not-in-family, White, Female,0,0,13, United-States, <=50K
24, Private,115663, 9th,6, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private,132588, 11th,7, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,29, United-States, <=50K
68, Self-emp-not-inc,121540, 11th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1925,40, United-States, <=50K
29, Private,109790, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,3,0,31, United-States, <=50K
27, Private,69675, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,3182,0,49, United-States, <=50K
21, Private,133004, Some-college,10, Never-married, Sales, Own-child, White, Female,3,0,11, United-States, <=50K
33, Local-gov,41049, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,3975,0,40, United-States, <=50K
18, Private,68530, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,22, United-States, <=50K
34, Private,155713, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,49, United-States, <=50K
36, Private,85074, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,59, United-States, <=50K
37, Private,84239, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,3,0,40, United-States, >50K
57, Self-emp-not-inc,87923, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private,101850, Masters,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,1,0,40, United-States, >50K
37, Private,131530, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,37, United-States, <=50K
21, Private,179685, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private,104859, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,1,0,40, United-States, <=50K
39, Private,137200, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,58, United-States, >50K
29, Private,78698, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,2,0,40, United-States, <=50K
31, Private,224589, 1st-4th,2, Never-married, Machine-op-inspct, Not-in-family, Black, Female,2,0,40, Dominican-Republic, <=50K
60, Private,74624, Bachelors,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,23, United-States, >50K
47, Private,90351, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,1,0,34, United-States, <=50K
36, Private,116139, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,40, United-States, <=50K
56, Private,164266, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2,0,40, United-States, >50K
23, Private,102320, 9th,13, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
61, Private,111463, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,40, United-States, <=50K
38, Self-emp-not-inc,134035, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,3,0,40, United-States, <=50K
36, Private,148114, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,8,0,49, United-States, >50K
42, Private,101092, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private,114341, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,212788, Assoc-acdm,4, Never-married, Craft-repair, Own-child, White, Male,1,0,40, United-States, <=50K
26, State-gov,30091, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,1,0,10, United-States, <=50K
29, Private,180262, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,40, United-States, <=50K
57, Private,78265, 5th-6th,3, Married-civ-spouse, Sales, Wife, White, Female,2,0,40, United-States, >50K
61, Private,141518, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,62, United-States, <=50K
29, Private,222227, Masters,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private,143773, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,19, United-States, <=50K
19, Private,42874, 11th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private,145382, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private,209021, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,2,0,40, United-States, <=50K
28, Private,100305, 5th-6th,4, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Mexico, <=50K
24, Private,57050, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private,97725, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Private,136679, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private,147752, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,1,0,40, United-States, <=50K
43, State-gov,135792, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,3,0,35, United-States, <=50K
37, Private,144330, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,2,0,61, United-States, >50K
22, Private,123417, 10th,7, Never-married, Other-service, Unmarried, Black, Female,1,0,40, United-States, <=50K
21, Private,156008, Bachelors,13, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private,172866, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,1,1931,51, United-States, >50K
52, Private,136605, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,3,0,49, United-States, <=50K
41, Private,74577, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private,101669, Some-college,10, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
25, Private,100462, 9th,5, Never-married, Craft-repair, Not-in-family, White, Male,3,0,40, United-States, <=50K
23, Private,93611, Masters,7, Never-married, Prof-specialty, Own-child, White, Male,0,0,17, United-States, <=50K
25, Private,82972, Some-college,10, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
57, Private,175003, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,1,0,25, United-States, <=50K
46, Self-emp-not-inc,30404, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,56, United-States, >50K
42, Private,136291, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,1,0,40, United-States, <=50K
28, Self-emp-not-inc,36451, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1,0,50, United-States, <=50K
33, Local-gov,129044, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,0,1794,36, United-States, <=50K
49, Private,150233, 11th,7, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
31, Private,99979, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,2,0,40, United-States, <=50K
27, Private,137003, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,30, United-States, <=50K
65, Private,96617, 9th,6, Married-civ-spouse, Sales, Husband, White, Male,15674,0,40, United-States, >50K
29, Private,88235, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,31, United-States, <=50K
43, Private,29745, Some-college,10, Separated, Exec-managerial, Unmarried, White, Female,0,0,38, United-States, <=50K
70, Private,96721, Bachelors,10, Married-civ-spouse, Other-service, Wife, White, Female,1,0,24, United-States, <=50K
29, State-gov,39230, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private,111449, 7th-8th,4, Never-married, Sales, Not-in-family, Black, Female,2,0,31, United-States, <=50K
29, Private,141465, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,36, United-States, <=50K
20, Private,151155, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
35, Private,132782, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,6,0,60, United-States, >50K
37, ?,107743, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,0,0,55, United-States, <=50K
52, Private,132783, 11th,7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
37, Private,97654, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,14402,0,61, United-States, <=50K
19, Private,139362, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,22, United-States, <=50K
37, Local-gov,124103, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,50, Taiwan, >50K
34, Private,62681, Preschool,2, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,2,0,40, China, <=50K
29, Private,193015, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2,0,40, United-States, >50K
58, Private,148171, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, <=50K
50, Private,127661, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,3,0,40, United-States, <=50K
31, Private,102225, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
22, Private,115135, 11th,7, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private,94703, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private,83513, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,167006, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,23, United-States, <=50K
36, Private,165891, HS-grad,9, Divorced, Craft-repair, Unmarried, Black, Male,2,0,40, United-States, <=50K
