age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33, Private,120555, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,3,0,40, United-States, <=50K
36, Local-gov,31102, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,189819, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
43, State-gov,88060, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
67, Private,164508, 7th-8th,5, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Local-gov,141111, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,2,0,40, United-States, <=50K
37, Private,116809, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1637,40, United-States, <=50K
55, Private,194168, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,1,0,20, United-States, <=50K
39, Private,159058, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, >50K
32, Self-emp-not-inc,116452, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1,1708,55, United-States, <=50K
20, Private,230339, 5th-6th,3, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
58, ?,178564, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
39, Local-gov,95834, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
29, Self-emp-not-inc,27160, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,1,0,40, United-States, <=50K
22, Private,209616, Some-college,10, Never-married, Sales, Own-child, White, Male,1,0,40, United-States, <=50K
39, Private,201468, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,40, United-States, >50K
52, Private,51961, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,46, United-States, <=50K
26, Private,142013, 9th,7, Never-married, Other-service, Not-in-family, White, Female,2036,0,40, United-States, <=50K
27, Private,114238, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,3,0,40, United-States, >50K
30, Private,189509, HS-grad,9, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
